               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.034241,             0.01747,                   0,             0.88788,             0.75156,             0.86576,             0.51801,            0.038421,            0.027215,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.033863,             0.01754,                   0,             0.86365,             0.76462,              0.8689,             0.52465,            0.037859,            0.027037,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.034038,            0.017342,                   0,             0.89638,             0.73644,             0.86006,             0.51771,            0.038135,            0.027442,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.033917,            0.017342,                   0,              0.8611,             0.76318,             0.86355,             0.51806,             0.03807,            0.027844,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.033685,            0.017434,                   0,              0.8727,             0.74174,              0.8556,             0.51615,             0.03787,             0.02786,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.033858,            0.017331,                   0,             0.86981,             0.75517,             0.86403,              0.5195,            0.037806,             0.02738,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.03365,            0.017177,                   0,             0.86165,             0.74718,             0.85464,             0.51484,            0.038173,            0.028115,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.033567,            0.017346,                   0,             0.86497,             0.76977,             0.87225,             0.52805,            0.037315,            0.027189,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03351,             0.01739,                   0,              0.8498,             0.76844,             0.86588,             0.52591,            0.037664,            0.027537,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.033353,            0.017286,                   0,             0.86929,              0.7565,             0.86325,              0.5251,            0.037558,            0.028192,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.03356,            0.017052,                   0,             0.88506,             0.73893,              0.8621,             0.52734,            0.037465,            0.027618,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.033035,            0.016708,                   0,              0.8789,             0.75854,             0.87148,              0.5275,            0.037634,            0.027051,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.033165,             0.01701,                   0,             0.88673,             0.75313,             0.87087,             0.52939,            0.037533,            0.026858,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.032871,            0.017079,                   0,             0.86575,             0.74197,              0.8624,             0.52724,            0.037387,            0.027367,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032931,            0.017038,                   0,             0.87627,             0.75762,             0.86716,             0.52887,             0.03714,            0.027308,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.032815,            0.017011,                   0,             0.87773,             0.74702,             0.86156,             0.52444,            0.037333,            0.027793,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.032806,            0.017121,                   0,             0.89273,             0.75478,             0.87043,             0.53411,            0.036774,            0.026754,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.032734,            0.016871,                   0,              0.8849,             0.74433,             0.86026,             0.52485,            0.037031,            0.027668,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.032331,            0.016792,                   0,             0.88158,             0.75362,             0.86512,              0.5265,            0.037069,            0.027256,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.032742,            0.016818,                   0,             0.89324,             0.73518,             0.86254,             0.52908,             0.03782,            0.027327,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.032785,            0.016792,                   0,             0.85762,             0.76284,             0.86605,             0.53283,            0.036905,            0.027531,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.032239,              0.0166,                   0,             0.86113,             0.76558,             0.86991,             0.53391,            0.036654,            0.027314,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.032329,            0.016816,                   0,             0.88572,             0.75402,             0.86668,             0.52987,            0.037063,            0.027072,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.032298,            0.016521,                   0,             0.87955,             0.74418,             0.86317,             0.52857,            0.036642,            0.027535,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.032293,             0.01658,                   0,             0.87641,             0.76055,             0.86951,             0.53241,            0.036472,            0.026883,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.032119,            0.016692,                   0,             0.86024,             0.77196,             0.86969,             0.53854,            0.036599,            0.027362,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.032091,            0.016497,                   0,              0.8917,             0.74355,             0.86513,             0.53373,            0.036538,            0.027285,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.031763,            0.016515,                   0,              0.8898,             0.75191,             0.87124,             0.53648,            0.036494,            0.027536,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.031823,            0.016581,                   0,             0.88748,              0.7532,             0.86971,             0.53611,            0.036045,            0.027483,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.031597,            0.016107,                   0,             0.88666,             0.75349,              0.8739,             0.53784,            0.036072,            0.027479,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.031911,            0.016457,                   0,             0.88197,             0.75204,             0.86888,             0.53765,            0.036167,            0.027549,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.031726,            0.016381,                   0,             0.86059,             0.76924,             0.87097,             0.53659,            0.036157,            0.027061,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.031723,            0.016486,                   0,             0.88435,             0.75826,             0.87284,             0.54076,            0.035875,            0.026998,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.031644,            0.016448,                   0,             0.87571,             0.76711,             0.87606,             0.54129,            0.035771,            0.026945,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.031373,            0.016434,                   0,              0.8869,             0.76496,             0.87592,             0.54177,            0.035549,            0.026782,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.03134,            0.015953,                   0,             0.87339,             0.76416,             0.87588,             0.54266,            0.036028,            0.027015,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.031299,            0.016005,                   0,             0.89545,             0.75653,              0.8782,             0.54273,            0.035681,            0.026418,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.031208,            0.016066,                   0,             0.88207,             0.77179,             0.88263,             0.54656,            0.035516,            0.026502,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.031401,            0.016216,                   0,             0.87747,             0.76806,             0.87807,             0.54565,            0.035509,            0.026662,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.031194,            0.016218,                   0,              0.8808,             0.76971,             0.88258,             0.54736,            0.035398,            0.026529,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.031235,             0.01628,                   0,              0.8574,             0.78206,             0.87535,             0.54373,            0.035739,            0.026676,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.030898,            0.016463,                   0,             0.88755,              0.7636,             0.87689,             0.54465,            0.035515,            0.026838,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.031084,            0.016156,                   0,             0.88654,             0.76218,             0.87712,             0.54645,            0.035643,            0.027089,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.031185,            0.016252,                   0,             0.88669,             0.76619,             0.88032,             0.54842,            0.035632,            0.026422,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.030959,            0.015882,                   0,             0.89678,             0.76343,             0.88269,             0.54743,            0.035328,            0.026698,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.030978,            0.016123,                   0,             0.89487,             0.75286,             0.87599,             0.54574,            0.035351,            0.027276,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.030965,            0.015876,                   0,              0.8942,             0.76139,             0.88057,             0.55024,            0.035424,            0.026909,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.030882,            0.015887,                   0,              0.8857,             0.76881,             0.87621,              0.5465,            0.035552,            0.026931,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.030794,            0.015981,                   0,             0.89929,             0.75382,             0.87539,             0.54743,            0.035351,            0.027188,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.030782,            0.015749,                   0,             0.88925,             0.76651,             0.88023,             0.54661,            0.035181,             0.02674,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.030694,            0.015677,                   0,             0.88568,             0.76581,             0.87703,             0.54641,            0.035182,            0.026999,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.030903,            0.015937,                   0,             0.90391,             0.75326,             0.87979,             0.54956,            0.035167,             0.02683,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.030491,            0.016048,                   0,             0.87634,             0.77271,             0.87844,              0.5491,            0.035254,            0.026819,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.030358,            0.015675,                   0,             0.87245,             0.77519,              0.8824,             0.55042,            0.035222,            0.026904,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.03033,            0.015612,                   0,             0.87599,             0.77329,             0.88045,             0.55073,            0.035049,            0.026949,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.030845,             0.01594,                   0,             0.87786,             0.77109,              0.8791,             0.55101,            0.035031,            0.026746,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.030443,             0.01578,                   0,             0.88353,             0.77354,               0.882,             0.55196,            0.035003,            0.026782,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.030554,            0.015652,                   0,             0.88058,             0.77433,             0.88048,             0.55281,            0.034799,            0.026827,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.030163,            0.016003,                   0,             0.88709,             0.77364,             0.88348,             0.55385,            0.034946,            0.026501,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.030045,            0.015761,                   0,             0.90074,              0.7667,             0.88474,             0.55536,            0.034903,            0.026382,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.030308,            0.015583,                   0,             0.89159,             0.77106,             0.88149,             0.55287,             0.03477,            0.026576,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.030328,            0.015527,                   0,              0.8975,             0.75983,             0.87996,             0.55286,            0.034983,            0.026855,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.030389,            0.015807,                   0,             0.88821,             0.77459,             0.88541,             0.55713,             0.03463,            0.026449,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.030265,            0.015585,                   0,             0.89553,                0.77,             0.88443,             0.55527,            0.034595,            0.026525,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.030104,            0.015635,                   0,             0.90158,             0.76167,              0.8852,             0.55772,            0.034566,             0.02652,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.030094,            0.015624,                   0,             0.86753,             0.78298,             0.88186,             0.55535,            0.034572,            0.026753,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.030136,            0.015839,                   0,             0.89953,             0.76171,             0.88059,             0.55327,            0.034658,            0.026817,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.029713,            0.015559,                   0,             0.89861,             0.75979,             0.87981,             0.55543,            0.034625,            0.027194,                   0,            0.006535,            0.006535,            0.006535
